UserId,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,UserSegment
148,121,6,35,4,1,3,8,Promising
463,141,13,62,4,3,3,10,Loyal Users
471,111,61,116,4,5,4,13,Champions
496,111,56,258,4,5,5,14,Champions
833,278,12,21,3,3,2,8,Loyal Users
1088,746,8,16,2,2,2,6,Lost
1238,479,15,73,2,3,4,9,Casual Users
1342,97,5,7,4,1,1,6,Promising
1580,231,93,179,3,5,5,13,Loyal Users
1591,1276,34,76,1,4,4,9,At Risk
1645,1232,18,74,2,3,4,9,Casual Users
1829,118,13,44,4,3,3,10,Loyal Users
1959,9,22,34,5,4,3,12,Loyal Users
2122,868,33,76,2,4,4,10,At Risk
2142,69,141,399,5,5,5,15,Champions
2366,2431,14,17,1,3,2,6,Casual Users
2659,5,18,151,5,3,5,13,Loyal Users
2866,714,26,46,2,4,3,9,At Risk
3175,67,31,153,5,4,5,14,Champions
3749,3127,21,38,1,3,3,7,Casual Users
3794,118,28,85,4,4,4,12,Champions
3918,281,18,27,3,3,2,8,Loyal Users
3997,280,37,142,3,4,4,11,Loyal Users
4101,784,7,9,2,2,1,5,Lost
4519,266,48,159,3,5,5,13,Loyal Users
4818,380,25,66,3,4,4,11,Loyal Users
4900,808,5,8,2,1,1,4,Lost
4935,28,9,32,5,2,3,10,Promising
5156,232,40,173,3,4,5,12,Loyal Users
5300,840,15,20,2,3,2,7,Casual Users
5518,107,20,101,4,3,4,11,Loyal Users
5803,302,20,66,3,3,4,10,Loyal Users
6336,61,53,208,5,5,5,15,Champions
6357,424,31,58,3,4,3,10,Loyal Users
6397,177,42,94,3,4,4,11,Loyal Users
6466,12,22,63,5,4,4,13,Champions
6620,83,59,133,4,5,4,13,Champions
6654,509,14,23,2,3,2,7,Casual Users
6658,3100,10,36,1,2,3,6,Lost
7240,75,5,10,4,1,1,6,Promising
7253,132,26,111,4,4,4,12,Champions
7340,6,64,98,5,5,4,14,Champions
7554,2084,6,16,1,1,2,4,Lost
7754,639,16,44,2,3,3,8,Casual Users
7833,226,66,357,3,5,5,13,Loyal Users
